Акселератор инновационных идей «ИНИТИУМ»;supportinfrastructures/akseleracionnaya-programma-innovacionnyh-idey-initium
Инновационная школа «Бизнес-ускоритель А:СТАРТ»;supportinfrastructures/biznes-uskoritel-astart
Фонд развития интернет-инициатив ФРИИ;http://fondnid.ru/supportinfrastructures/fond-razvitiya-internet-iniciativ-frii
Бизнес-инкубатор Академпарка;supportinfrastructures/biznes-inkubator-akademparka
Бизнес-инкубатор Кольцово;supportinfrastructures/biznes-inkubator-kolcovo
Бизнес-инкубатор Городского центра развития предпринимательства;supportinfrastructures/biznes-inkubator-municipalnogo-avtonomnogo-uchrezhdeniya-goroda-novosibirska
Нанотехнологический центр «СИГМА.Новосибирск»;http://fondnid.ru/sygma
Бизнес инкубатор в сфере информационных технологий ФГБОУ ВО «Сибирский государственный университет геосистем и технологий»;http://fondnid.ru/supportinfrastructures/biznes-inkubator-v-sfere-informacionnyh-tehnologiy-fgbou-vo-sibirskiy
Бизнес-инкубатор ФГБОУ ВО «Новосибирский государственный технический университет» «ГАРАЖ»;http://fondnid.ru/supportinfrastructures/biznes-inkubator-fgbou-vo-novosibirskiy-gosudarstvennyy-tehnicheskiy
Бизнес-инкубатор в транспортной сфере ФГБОУ ВО «Сибирский государственный университет путей сообщения»;http://fondnid.ru/supportinfrastructures/biznes-inkubator-v-transportnoy-sfere-fgbou-vo-sibirskiy-gosudarstvennyy
Бизнес-инкубатор ФГБОУ ВО «Новосибирский государственный аграрный университет»;http://fondnid.ru/supportinfrastructures/biznes-inkubator-fgbou-vo-novosibirskiy-gosudarstvennyy-agrarnyy-universitet
Грант на проведение фундаментальных научных исследований, выполняемых молодыми учеными (совместно с РФФИ);support/provedenie-fundamentalnyh-nauchnyh-issledovaniy-vypolnyaemyh-molodymi-uchenymi-sovmestno-s
Субсидии на подготовку, осуществление трансфера и коммерциализацию технологий, включая выпуск опытной партии продукции, её сертификацию, модернизацию производства и прочие мероприятия;support/provedenie-prikladnyh-nauchnyh-issledovaniy-i-zavershenie-opytno-konstruktorskih-rabot
Гранты в форме субсидий в сфере научной и инновационной деятельности;http://fondnid.ru/support/granty-v-forme-subsidiy-v-sfere-nauchnoy-i-innovacionnoy-deyatelnosti
Информационная и консультационная поддержка по началу ведения предпринимательсвкой деятельности;http://fondnid.ru/support/informacionnaya-i-konsultacionnaya-podderzhka-0
Информационная и консультационная поддержка по формированию и развитию инновационного проекта;support/informacionnaya-i-konsultacionnaya-podderzhka-1
Площадки для коммуникаций;http://fondnid.ru/gruppy-infrastruktury-podderzhki/ploshchadki-dlya-kommunikaciy-0
Инновационная школа «Бизнес-ускоритель А:СТАРТ»;supportinfrastructures/biznes-uskoritel-astart
Бизнес – инкубатор Академпарка;supportinfrastructures/biznes-inkubator-akademparka
Бизнес-инкубатор Кольцово;supportinfrastructures/biznes-inkubator-kolcovo
Бизнес-инкубатор Городского центра развития предпринимательства;supportinfrastructures/biznes-inkubator-municipalnogo-avtonomnogo-uchrezhdeniya-goroda-novosibirska
Технопарк Новосибирского Академгородка (Академпарк);http://fondnid.ru/academpark
Биотехнопарк Кольцово;http://fondnid.ru/supportinfrastructures/biotehnopark-kolcovo
Медицинский Технопарк (Инновационный медико-технологический центр);http://fondnid.ru/medical_technopark
Технопарк нанотехнологического центра «СИГМА.Новосибирск»;http://fondnid.ru/supportinfrastructures/tehnopark-nanotehnologicheskogo-centra-sigmanovosibirsk
Центр Технологического Обеспечения (ЦТО) Академпарка;http://fondnid.ru/supportinfrastructures/centr-tehnologicheskogo-obespecheniya-cto-akademparka
Центр информационных технологий (ЦИТ) Академпарка;http://fondnid.ru/supportinfrastructures/centr-informacionnyh-tehnologiy-cit-akademparka
Центр наномодифицированных материалов (Наноцентр) Академпарка;http://fondnid.ru/supportinfrastructures/centr-nanomodificirovannyh-materialov-nanocentr-akademparka
Испытательный лабораторный центр Биотехнопарка Кольцово;http://fondnid.ru/supportinfrastructures/ispytatelnyy-laboratornyy-centr-biotehnoparka-kolcovo
Центр прототипирования Медицинского Технопарка;http://fondnid.ru/supportinfrastructures/centr-prototipirovaniya-medicinskogo-tehnoparka
Инжиниринговый медико-технологический центр Медицинского Технопарка;http://fondnid.ru/supportinfrastructures/inzhiniringovyy-mediko-tehnologicheskiy-centr-medicinskogo-tehnoparka
"Центр трансфера технологий АНО ""Инновационный центр Кольцово""";supportinfrastructures/ano-innovacionnyy-centr-kolcovo
Индустриальный офис Академпарка;http://fondnid.ru/supportinfrastructures/industrialnyy-ofis-akademparka
Возмещение части затрат связанных с началом предпринимательской деятельности, модернизации производства, договорами лизинга, исследованиями/испытаниями (Новосибирская область, за искл. г. Новосибирск);supportinfrastructures/ministerstvo-promyshlennosti-torgovli-i-razvitiya-predprinimatelstva
Возмещение части затрат связанных с началом предпринимательской деятельности, приобретением оборудования, лизинговыми платежами, уплатой процентов по кредитам, на участие в выставках, ярмарках (г. Новосибирск);supportinfrastructures/upravlenie-predprinimatelstva-i-investicionnoy-politiki-merii-goroda
Субсидии на подготовку, осуществление трансфера и коммерциализацию технологий, включая выпуск опытной партии продукции, её сертификацию, модернизацию производства и прочие мероприятия;support/subsidirovanie-chasti-zatrat-na-podgotovku-osushchestvlenie-transfera-i-kommercializaciyu-1
Предоставление субсидий в сфере инновационной деятельности;http://fondnid.ru/support/predostavlenie-subsidiy-v-sfere-innovacionnoy-deyatelnosti
Содействие участию в международных конгрессно-выставочных мероприятиях и деловых миссиях;http://fondnid.ru/support/sodeystvie-uchastiyu-v-mezhdunarodnyh-kongressno-vystavochnyh-meropriyatiyah-i-delovyh
Содействие участию в деловых миссиях, выставочных мероприятиях на территории Российской Федерации;http://fondnid.ru/support/sodeystvie-uchastiyu-v-delovyh-missiyah-vystavochnyh-meropriyatiyah
Консультационные, информационные, образовательные услуги по осуществлению внешнеэкономической деятельности;http://fondnid.ru/support/konsultacionnye-informacionnye-obrazovatelnye-uslugi-po-osushchestvleniyu
Разработка бизнес-планов инновационных проектов;http://fondnid.ru/support/razrabotka-biznes-planov-innovacionnyh-proektov
Подготовка и представление инновационных проектов на Сибирской Венчурной Ярмарке;http://fondnid.ru/support/podgotovka-i-predstavlenie-innovacionnyh-proektov-na-sibirskoy-venchurnoy-yarmarke
Информационная и консультационная поддержка по формированию и развитию инновационного проекта;support/informacionnaya-i-konsultacionnaya-podderzhka-1
Площадки для коммуникаций;http://fondnid.ru/gruppy-infrastruktury-podderzhki/ploshchadki-dlya-kommunikaciy-0
